SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
JSWENERGY,JSW Energy Limited,EQ,04-JAN-2010,10,1,INE121E01018,10
JSWHL,JSW Holdings Limited,EQ,21-JUN-2005,10,1,INE824G01012,10
JSWSTEEL,JSW Steel Limited,EQ,23-MAR-2005,1,1,INE019A01038,1
JUBILANT,Jubilant Life Sciences Limited,EQ,16-JUN-2003,1,1,INE700A01033,1
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-FEB-2010,10,1,INE797F01012,10
JUBLINDS,Jubilant Industries Limited,EQ,14-FEB-2011,10,1,INE645L01011,10
JUSTDIAL,Just Dial Limited,EQ,05-JUN-2013,10,1,INE599M01018,10
JVLAGRO,JVL Agro Industries Limited,EQ,17-JUN-2011,1,1,INE430G01026,1
JYOTHYLAB,Jyothy Laboratories Limited,EQ,19-DEC-2007,1,1,INE668F01031,1
JYOTISTRUC,Jyoti Structures Limited,EQ,19-JUL-1995,2,1,INE197A01024,2
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,06-SEP-1995,5,1,INE900B01029,5
KAJARIACER,Kajaria Ceramics Limited,EQ,01-JUN-2004,1,1,INE217B01036,1
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ,13-DEC-1995,10,1,INE437B01014,10
KALPATPOWR,Kalpataru Power Transmission Limited,EQ,15-DEC-2000,2,1,INE220B01022,2
KALYANIFRG,Kalyani Forge Limited,BE,20-DEC-2007,10,1,INE314G01014,10
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,29-MAY-1996,10,1,INE967C01018,10
KAMDHENU,Kamdhenu Limited,EQ,09-MAY-2006,10,1,INE390H01012,10
KANANIIND,Kanani Industries Limited,EQ,14-DEC-2011,1,1,INE879E01037,1
KANSAINER,Kansai Nerolac Paints Limited,EQ,15-SEP-2003,1,1,INE531A01024,1
KARMAENG,Karma Energy Limited,EQ,28-JUN-2011,10,1,INE725L01011,10
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-JUL-2000,2,1,INE036D01028,2
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,EQ,14-DEC-2007,10,1,INE234I01010,10
KAVVERITEL,Kavveri Telecom Products Limited,EQ,29-JAN-2008,10,1,INE641C01019,10
KAYA,Kaya Limited,EQ,14-AUG-2015,10,1,INE587G01015,10
KCP,KCP Limited,EQ,09-APR-1997,1,1,INE805C01028,1
KCPSUGIND,KCP Sugar and Industries Corporation Limited,EQ,11-JUN-1997,1,1,INE790B01024,1
KDDL,KDDL Limited,EQ,23-MAR-2016,10,1,INE291D01011,10
KEC,KEC International Limited,EQ,10-MAR-2006,2,1,INE389H01022,2
KECL,Kirloskar Electric Company Limited,EQ,09-MAR-2010,10,1,INE134B01017,10
KEI,KEI Industries Limited,EQ,23-MAR-2006,2,1,INE878B01027,2
KELLTONTEC,Kellton Tech Solutions Limited,EQ,02-MAR-2016,5,1,INE164B01022,5
KERNEX,Kernex Microsystems (India) Limited,BE,20-DEC-2005,10,1,INE202H01019,10
KESARENT,Kesar Enterprises Limited,EQ,02-JAN-2007,10,1,INE133B01019,10
KESORAMIND,Kesoram Industries Limited,EQ,06-SEP-1995,10,1,INE087A01019,10
KGL,Karuturi Global Limited,EQ,03-MAY-2007,1,1,INE299C01024,1
KHAITANELE,Khaitan Electricals Limited,BE,28-JUN-2000,10,1,INE761A01019,10
KHAITANLTD,Khaitan (India) Limited,BE,24-JAN-2001,10,1,INE731C01018,10
KHANDSE,Khandwala Securities Limited,EQ,07-FEB-2001,10,1,INE060B01014,10
KILITCH,Kilitch Drugs (India) Limited,EQ,29-SEP-2010,10,1,INE729D01010,10
KINGFA,Kingfa Science & Technology (India) Limited,EQ,15-NOV-2016,10,1,INE473D01015,10
KIOCL,KIOCL Limited,EQ,29-NOV-2016,10,1,INE880L01014,10
KIRIINDUS,Kiri Industries Limited,EQ,22-APR-2008,10,1,INE415I01015,10
KIRLOSBROS,Kirloskar Brothers Limited,EQ,20-APR-2010,2,1,INE732A01036,2
KIRLOSENG,Kirloskar Oil Engines Limited,EQ,24-DEC-2010,2,1,INE146L01010,2
KIRLOSIND,Kirloskar Industries Limited,EQ,24-JUN-2010,10,1,INE250A01039,10
KITEX,Kitex Garments Limited,EQ,25-SEP-2012,1,1,INE602G01020,1
KKCL,Kewal Kiran Clothing Limited,EQ,13-APR-2006,10,1,INE401H01017,10
KMSUGAR,K.M.Sugar Mills Limited,EQ,31-MAY-2007,2,1,INE157H01023,2
KNRCON,KNR Constructions Limited,EQ,18-FEB-2008,2,1,INE634I01029,2
KOHINOOR,Kohinoor Foods Limited,EQ,20-OCT-1999,10,1,INE080B01012,10
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,13-DEC-2007,10,1,INE094I01018,10
KOPRAN,Kopran Limited,EQ,09-JUN-1999,10,1,INE082A01010,10
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5,1,INE237A01028,5
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,13-DEC-2004,10,1,INE419A01022,10
KOTHARIPET,Kothari Petrochemicals Limited,EQ,02-NOV-1996,10,1,INE720A01015,10
KOTHARIPRO,Kothari Products Limited,EQ,03-JUN-1998,10,1,INE823A01017,10
KPIT,KPIT Technologies Limited,EQ,24-NOV-1999,2,1,INE836A01035,2
KPRMILL,K.P.R. Mill Limited,EQ,28-AUG-2007,5,1,INE930H01023,5
KRBL,KRBL Limited,EQ,21-JAN-2002,1,1,INE001B01026,1
KREBSBIO,Krebs Biochemicals and Industries Limited,BE,19-APR-2000,10,1,INE268B01013,10
KSBPUMPS,KSB Pumps Limited,EQ,08-FEB-1995,10,1,INE999A01015,10
KSCL,Kaveri Seed Company Limited,EQ,04-OCT-2007,2,1,INE455I01029,2
KSERASERA,KSS Limited,BE,05-OCT-2006,1,1,INE216D01026,1
KSK,KSK Energy Ventures Limited,EQ,14-JUL-2008,10,1,INE143H01015,10
KSL,Kalyani Steels Limited,EQ,19-MAY-2010,5,1,INE907A01026,5
KTIL,Kesar Terminals & Infrastructure Limited,EQ,22-DEC-2010,5,1,INE096L01025,5
KTKBANK,The Karnataka Bank Limited,EQ,10-MAY-2000,10,1,INE614B01018,10
KWALITY,kwality limited,EQ,05-JUL-2011,1,1,INE775B01025,1
LAKPRE,Lakshmi Precision Screws Limited,EQ,26-SEP-2006,10,1,INE651C01018,10
LAKSHVILAS,Lakshmi Vilas Bank Limited,EQ,21-JUN-2000,10,1,INE694C01018,10
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-DEC-2015,10,1,INE600L01024,10
LAMBODHARA,Lambodhara Textiles Limited,EQ,04-FEB-2015,5,1,INE112F01022,5
LAOPALA,La Opala RG Limited,EQ,16-MAR-2007,2,1,INE059D01020,2
LAURUSLABS,Laurus Labs Limited,EQ,19-DEC-2016,10,1,INE947Q01010,10
LAXMIMACH,Lakshmi Machine Works Limited,EQ,29-MAR-1995,10,1,INE269B01029,10
LCCINFOTEC,LCC Infotech Limited,BE,02-MAR-2000,2,1,INE938A01021,2
LFIC,Lakshmi Finance & Industrial Corporation Limited,BE,15-APR-2015,10,1,INE850E01012,10
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,30-MAR-2010,10,1,INE337A01034,10
LGBFORGE,LGB Forge Limited,BE,01-AUG-2008,1,1,INE201J01017,1
LIBERTSHOE,Liberty Shoes Limited,EQ,27-SEP-1995,10,1,INE557B01019,10
LICHSGFIN,LIC Housing Finance Limited,EQ,29-JUL-1998,2,1,INE115A01026,2
LINDEINDIA,Linde India Limited,EQ,16-JUN-1999,10,1,INE473A01011,10
LITL,Lanco Infratech Limited,EQ,27-NOV-2006,1,1,INE785C01048,1
LLOYDELENG,Lloyd Electric & Engineering Limited,EQ,30-APR-1997,10,1,INE245C01019,10
LML,LML Limited,EQ,15-MAR-1995,10,1,INE862A01015,10
LOKESHMACH,Lokesh Machines Limited,EQ,05-MAY-2006,10,1,INE397H01017,10
LOTUSEYE,Lotus Eye Care Hospital Limited,EQ,11-JUL-2008,10,1,INE947I01017,10
LOVABLE,Lovable Lingerie Limited,EQ,24-MAR-2011,10,1,INE597L01014,10
LPDC,Landmark Property Development Company Limited,EQ,12-AUG-2008,1,1,INE197J01017,1
LT,Larsen & Toubro Limited,EQ,23-JUN-2004,2,1,INE018A01030,2
LTI,Larsen & Toubro Infotech Limited,EQ,21-JUL-2016,1,1,INE214T01019,1
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016,2,1,INE010V01017,2
LUMAXIND,Lumax Industries Limited,EQ,06-SEP-1995,10,1,INE162B01018,10
LUMAXTECH,Lumax Auto Technologies Limited,EQ,16-JAN-2007,10,1,INE872H01019,10
LUPIN,Lupin Limited,EQ,10-SEP-2001,2,1,INE326A01037,2
LUXIND,Lux Industries Limited,EQ,30-NOV-2015,2,1,INE150G01020,2
LYCOS,Lycos Internet Limited,BE,08-MAY-2015,2,1,INE425B01027,2
LYKALABS,Lyka Labs Limited,EQ,08-FEB-1995,10,1,INE933A01014,10
LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ,05-NOV-2013,10,1,INE142K01011,10
M&M,Mahindra & Mahindra Limited,EQ,03-JAN-1996,5,1,INE101A01026,5
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006,2,1,INE774D01024,2
MAANALU,Maan Aluminium Limited,EQ,22-OCT-2007,10,1,INE215I01019,10
MADHAV,Madhav Marbles and Granites Limited,EQ,20-DEC-2007,10,1,INE925C01016,10
MADHUCON,Madhucon Projects Limited,EQ,05-OCT-2006,1,1,INE378D01032,1
MADRASFERT,Madras Fertilizers Limited,EQ,25-JUL-1997,10,1,INE414A01015,10
MAGMA,Magma Fincorp Limited,EQ,27-APR-2004,2,1,INE511C01022,2
MAGNUM,Magnum Ventures Limited,EQ,20-SEP-2007,10,1,INE387I01016,10
MAHABANK,Bank of Maharashtra,EQ,12-APR-2004,10,1,INE457A01014,10
MAHASTEEL,Mahamaya Steel Industries Limited,EQ,01-JUL-2016,10,1,INE451L01014,10
MAHINDCIE,Mahindra CIE Automotive Limited,EQ,30-AUG-2007,10,1,INE536H01010,10
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-MAY-2000,10,1,INE813A01018,10
MAHSCOOTER,Maharashtra Scooters Limited,EQ,08-FEB-1995,10,1,INE288A01013,10
MAHSEAMLES,Maharashtra Seamless Limited,EQ,25-AUG-2004,5,1,INE271B01025,5
MAITHANALL,Maithan Alloys Limited,EQ,05-JUL-2011,10,1,INE683C01011,10
MALUPAPER,Malu Paper Mills Limited,EQ,05-APR-2006,10,1,INE383H01017,10
MALWACOTT,Malwa Cotton Spg. Mills Limited,BE,12-APR-2000,10,1,INE272B01015,10
MANAKSIA,Manaksia Limited,EQ,08-JAN-2008,2,1,INE015D01022,2
MANALIPETC,Manali Petrochemicals Limited,EQ,06-DEC-2006,5,1,INE201A01024,5
MANAPPURAM,Manappuram Finance Limited,EQ,01-DEC-2014,2,1,INE522D01027,2
MANDHANA,Mandhana Industries Limited,BZ,19-MAY-2010,10,1,INE087J01010,10
MANGALAM,Mangalam Drugs And Organics Limited,EQ,23-MAY-2005,10,1,INE584F01014,10
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,EQ,22-OCT-2007,10,1,INE558B01017,10
MANGLMCEM,Mangalam Cement Limited,EQ,03-JAN-1996,10,1,INE347A01017,10
MANGTIMBER,Mangalam Timber Products Limited,EQ,27-JUL-1995,10,1,INE805B01012,10
MANINDS,Man Industries (India) Limited,EQ,24-JUN-2005,5,1,INE993A01026,5
MANINFRA,Man Infraconstruction Limited,EQ,11-MAR-2010,2,1,INE949H01023,2
MANUGRAPH,Manugraph India Limited,EQ,14-SEP-2006,2,1,INE867A01022,2
MARALOVER,Maral Overseas Limited,EQ,08-FEB-1995,10,1,INE882A01013,10
MARATHON,Marathon Nextgen Realty Limited,EQ,29-SEP-2016,10,1,INE182D01012,10
MARICO,Marico Limited,EQ,01-MAY-1996,1,1,INE196A01026,1
MARKSANS,Marksans Pharma Limited,EQ,21-JAN-2002,1,1,INE750C01026,1
MARUTI,Maruti Suzuki India Limited,EQ,09-JUL-2003,5,1,INE585B01010,5
MASTEK,Mastek Limited,EQ,10-MAY-1995,5,1,INE759A01021,5
MAWANASUG,Mawana Sugars Limited,EQ,20-MAR-2009,10,1,INE636A01039,10
MAXINDIA,Max India Limited,EQ,14-JUL-2016,2,1,INE153U01017,2
MAXVIL,Max Ventures and Industries Limited,EQ,22-JUN-2016,10,1,INE154U01015,10
MAYURUNIQ,Mayur Uniquoters Ltd,EQ,25-SEP-2012,5,1,INE040D01038,5
MBECL,Mcnally Bharat Engineering Company Limited,EQ,06-OCT-2006,10,1,INE748A01016,10
MBLINFRA,MBL Infrastructures Limited,EQ,11-JAN-2010,10,1,INE912H01013,10
MCDHOLDING,McDowell Holdings Limited,EQ,30-MAY-2007,10,1,INE836H01014,10
MCLEODRUSS,Mcleod Russel India Limited,EQ,29-JUL-2005,5,1,INE942G01012,5
MCX,Multi Commodity Exchange of India Limited,EQ,09-MAR-2012,10,1,INE745G01035,10
MEGASOFT,Megasoft Limited,EQ,19-JUL-2007,10,1,INE933B01012,10
MEGH,Meghmani Organics Limited,EQ,28-JUN-2007,1,1,INE974H01013,1
MELSTAR,Melstar Information Technologies Limited,EQ,07-MAR-2000,10,1,INE817A01019,10
MENONBE,Menon Bearings Limited,EQ,09-MAR-2015,1,1,INE071D01033,1
MEP,MEP Infrastructure Developers Limited,EQ,06-MAY-2015,10,1,INE776I01010,10
MERCATOR,Mercator Limited,EQ,20-JUN-2005,1,1,INE934B01028,1
MERCK,Merck Limited,EQ,24-APR-1996,10,1,INE199A01012,10
METALFORGE,Metalyst Forgings Limited,EQ,23-AUG-1995,10,1,INE425A01011,10
METKORE,Metkore Alloys & Industries Limited,BE,30-JUN-2008,2,1,INE592I01029,2
MFSL,Max Financial Services Limited,EQ,17-MAY-2000,2,1,INE180A01020,2
MGL,Mahanagar Gas Limited,EQ,01-JUL-2016,10,1,INE002S01010,10
MHRIL,Mahindra Holidays & Resorts India Limited,EQ,16-JUL-2009,10,1,INE998I01010,10
MIC,MIC Electronics Limited,EQ,30-MAY-2007,2,1,INE287C01029,2
MINDACORP,Minda Corporation Limited,EQ,16-OCT-2014,2,1,INE842C01021,2
MINDAIND,Minda Industries Limited,EQ,02-FEB-2007,2,1,INE405E01023,2
MINDTECK,Mindteck (India) Limited,EQ,02-AUG-2016,10,1,INE110B01017,10
MINDTREE,MindTree Limited,EQ,07-MAR-2007,10,1,INE018I01017,10
MIRCELECTR,MIRC Electronics Limited,EQ,24-MAY-2004,1,1,INE831A01028,1
MIRZAINT,Mirza International Limited,EQ,28-APR-1999,2,1,INE771A01026,2
MMFL,MM Forgings Limited,EQ,20-DEC-2006,10,1,INE227C01017,10
MMTC,MMTC Limited,EQ,09-APR-2012,1,1,INE123F01029,1
MOHITIND,Mohit Industries Limited,EQ,14-MAR-2013,10,1,INE954E01012,10
MOIL,MOIL Limited,EQ,15-DEC-2010,10,1,INE490G01020,10
MOLDTKPAC,Mold-Tek Packaging Limited,EQ,23-FEB-2015,5,1,INE893J01029,5
MONNETISPA,Monnet Ispat and Energy Limited,EQ,14-JUN-2004,10,1,INE743C01013,10
MONSANTO,Monsanto India Limited,EQ,19-JAN-2000,10,1,INE274B01011,10
MORARJEE,Morarjee Textiles Limited,EQ,14-SEP-2012,7,1,INE161G01027,7
MOREPENLAB,Morepen Laboratories Limited,EQ,24-NOV-1999,2,1,INE083A01026,2
MOSERBAER,Moser-Baer (I) Limited,EQ,02-MAY-2003,10,1,INE739A01015,10
MOTHERSUMI,Motherson Sumi Systems Limited,EQ,14-AUG-1996,1,1,INE775A01035,1
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,11-SEP-2007,1,1,INE338I01027,1
MOTOGENFIN,The Motor & General Finance Limited,BE,27-SEP-2000,10,1,INE861B01015,10
MPHASIS,MphasiS Limited,EQ,04-JUN-2004,10,1,INE356A01018,10
MPSLTD,MPS Limited,EQ,21-JAN-2002,10,1,INE943D01017,10
MRF,MRF Limited,EQ,18-SEP-1996,10,1,INE883A01011,10
MRO-TEK,MRO-TEK Realty Limited,EQ,01-NOV-2000,5,1,INE398B01018,5
MRPL,Mangalore Refinery and Petrochemicals Limited,EQ,07-JAN-2005,10,1,INE103A01014,10
MSPL,MSP Steel & Power Limited,EQ,18-JUL-2005,10,1,INE752G01015,10
MTEDUCARE,MT Educare Limited,EQ,12-APR-2012,10,1,INE472M01018,10
MTNL,Mahanagar Telephone Nigam Limited,EQ,17-FEB-1999,10,1,INE153A01019,10
MUKANDENGG,Mukand Engineers Limited,EQ,28-JUN-2000,10,1,INE022B01014,10
MUKANDLTD,Mukand Limited,EQ,23-FEB-2004,10,1,INE304A01026,10
MUKTAARTS,Mukta Arts Limited,EQ,12-SEP-2000,5,1,INE374B01019,5
MUNJALAU,Munjal Auto Industries Limited,EQ,19-JUL-2006,2,1,INE672B01032,2
MUNJALSHOW,Munjal Showa Limited,EQ,12-MAY-2003,2,1,INE577A01027,2
MURUDCERA,Murudeshwar Ceramics Limited,EQ,28-MAY-2004,10,1,INE692B01014,10
MUTHOOTFIN,Muthoot Finance Limited,EQ,06-MAY-2011,10,1,INE414G01012,10
MVL,MVL Limited,EQ,30-JUN-2008,1,1,INE744I01034,1
NAGAROIL,Nagarjuna Oil Refinery Limited,EQ,28-MAR-2012,1,1,INE453M01018,1
NAGREEKEXP,Nagreeka Exports Limited,EQ,18-JUN-2007,5,1,INE123B01028,5
NAHARCAP,Nahar Capital and Financial Services Limited,EQ,11-MAR-2008,5,1,INE049I01012,5
NAHARINDUS,Nahar Industrial Enterprises Limited,EQ,15-DEC-2005,10,1,INE289A01011,10
NAHARPOLY,Nahar Poly Films Limited,EQ,23-MAR-2007,5,1,INE308A01027,5
NAHARSPING,Nahar Spinning Mills Limited,EQ,23-MAR-2007,5,1,INE290A01027,5
NAKODA,Nakoda Limited,EQ,14-MAR-2013,5,1,INE559B01023,5
NATCOPHARM,Natco Pharma Limited,EQ,27-DEC-1995,2,1,INE987B01026,2
NATHBIOGEN,Nath Bio-Genes (India) Limited,EQ,28-JAN-2014,10,1,INE448G01010,10
NATIONALUM,National Aluminium Company Limited,EQ,28-APR-1999,5,1,INE139A01034,5
NATNLSTEEL,National Steel And Agro Industries Limited,BE,26-SEP-2002,10,1,INE088B01015,10
NAUKRI,Info Edge (India) Limited,EQ,21-NOV-2006,10,1,INE663F01024,10
NAVINFLUOR,Navin Fluorine International Limited,EQ,01-JUN-2007,10,1,INE048G01018,10
NAVKARCORP,Navkar Corporation Limited,EQ,09-SEP-2015,10,1,INE278M01019,10
NAVNETEDUL,Navneet Education Limited,EQ,08-FEB-1995,2,1,INE060A01024,2
NBCC,NBCC (INDIA) LIMITED,EQ,12-APR-2012,2,1,INE095N01023,2
NBVENTURES,Nava Bharat Ventures Limited,EQ,03-APR-1996,2,1,INE725A01022,2
NCC,NCC Limited,EQ,14-OCT-2003,2,1,INE868B01028,2
NCLIND,NCL Industries Limited,EQ,03-APR-2007,10,1,INE732C01016,10
NDL,Nandan Denim Limited,EQ,23-MAR-2012,10,1,INE875G01030,10
NDTV,New Delhi Television Limited,EQ,19-MAY-2004,4,1,INE155G01029,4
NECCLTD,North Eastern Carrying Corporation Limited,EQ,02-MAR-2016,10,1,INE553C01016,10
NECLIFE,Nectar Lifesciences Limited,EQ,18-JUL-2005,1,1,INE023H01027,1
NELCAST,Nelcast Limited,EQ,27-JUN-2007,2,1,INE189I01024,2
NELCO,NELCO Limited,EQ,28-MAY-2003,10,1,INE045B01015,10
NESCO,Nesco Limited,EQ,08-APR-2008,10,1,INE317F01027,10
NESTLEIND,Nestle India Limited,EQ,08-JAN-2010,10,1,INE239A01016,10
NET4,Net 4 India Limited,BE,10-DEC-2010,10,1,INE553E01012,10
NETWORK18,Network18 Media & Investments Limited,EQ,02-FEB-2007,5,1,INE870H01013,5
NEULANDLAB,Neuland Laboratories Limited,EQ,13-OCT-2008,10,1,INE794A01010,10
NEXTMEDIA,Next Mediaworks Limited,BE,04-APR-2001,10,1,INE747B01016,10
NFL,National Fertilizers Limited,EQ,28-DEC-2006,10,1,INE870D01012,10
NH,Narayana Hrudayalaya Ltd.,EQ,06-JAN-2016,10,1,INE410P01011,10
NHPC,NHPC Limited,EQ,01-SEP-2009,10,1,INE848E01016,10
NIBL,NRB Industrial Bearings Limited,EQ,09-APR-2013,2,1,INE047O01014,2
NICCO,Nicco Corporation Limited,BE,18-DEC-2006,2,1,INE241C01026,2
NIITLTD,NIIT Limited,EQ,16-AUG-2004,2,1,INE161A01038,2
NIITTECH,NIIT Technologies Limited,EQ,30-AUG-2004,10,1,INE591G01017,10
NILKAMAL,Nilkamal Limited,EQ,01-NOV-1995,10,1,INE310A01015,10
NIPPOBATRY,Indo-National Limited,EQ,06-OCT-1999,10,1,INE567A01010,10
NITCO,Nitco Limited,EQ,21-MAR-2006,10,1,INE858F01012,10
NITESHEST,Nitesh Estates Limited,EQ,13-MAY-2010,10,1,INE639K01016,10
NITINFIRE,Nitin Fire Protection Industries Limited,EQ,05-JUN-2007,2,1,INE489H01020,2
NITINSPIN,Nitin Spinners Limited,EQ,02-FEB-2006,10,1,INE229H01012,10
NLCINDIA,NLC India Limited,EQ,23-AUG-2000,10,1,INE589A01014,10
NMDC,NMDC Limited,EQ,03-MAR-2008,1,1,INE584A01023,1
NOCIL,NOCIL Limited,EQ,17-JAN-1996,10,1,INE163A01018,10
NOIDATOLL,Noida Toll Bridge Company Limited,EQ,06-DEC-2002,10,1,INE781B01015,10
NRBBEARING,NRB Bearing Limited,EQ,08-MAR-2000,2,1,INE349A01021,2
NSIL,Nalwa Sons Investments Limited,EQ,17-NOV-2003,10,1,INE023A01030,10
NTL,Neueon Towers Limited,EQ,11-SEP-2013,10,1,INE333I01036,10
NTPC,NTPC Limited,EQ,05-NOV-2004,10,1,INE733E01010,10
NUCLEUS,Nucleus Software Exports Limited,EQ,19-DEC-2002,10,1,INE096B01018,10
NUTEK,Nu Tek India Limited,EQ,27-AUG-2008,5,1,INE318J01027,5
OBEROIRLTY,Oberoi Realty Limited,EQ,20-OCT-2010,10,1,INE093I01010,10
OCL,OCL India Limited,EQ,15-SEP-2004,2,1,INE290B01025,2
OFSS,Oracle Financial Services Software Limited,EQ,28-JUN-2002,5,1,INE881D01027,5
OIL,Oil India Limited,EQ,30-SEP-2009,10,1,INE274J01014,10
OILCOUNTUB,Oil Country Tubular Limited,EQ,30-AUG-1995,10,1,INE591A01010,10
OISL,OCL Iron and Steel Limited,EQ,01-AUG-2008,1,1,INE196J01019,1
OMAXAUTO,Omax Autos Limited,EQ,20-FEB-2003,10,1,INE090B01011,10
OMAXE,Omaxe Limited,EQ,09-AUG-2007,10,1,INE800H01010,10
OMKARCHEM,Omkar Speciality Chemicals Limited,EQ,10-FEB-2011,10,1,INE474L01016,10
OMMETALS,OM Metals Infraprojects Limited,EQ,17-JUN-2011,1,1,INE239D01028,1
ONELIFECAP,Onelife Capital Advisors Limited,EQ,17-OCT-2011,10,1,INE912L01015,10
ONGC,Oil & Natural Gas Corporation Limited,EQ,19-JUL-1995,5,1,INE213A01029,5
ONMOBILE,OnMobile Global Limited,EQ,19-FEB-2008,10,1,INE809I01019,10
ONWARDTEC,Onward Technologies Limited,EQ,07-MAR-2001,10,1,INE229A01017,10
OPTOCIRCUI,Opto Circuits (India) Limited,EQ,25-AUG-2003,10,1,INE808B01016,10
ORBITCORP,Orbit Corporation Limited,BE,12-APR-2007,10,1,INE628H01015,10
ORBTEXP,Orbit Exports Limited,EQ,05-NOV-2013,10,1,INE231G01010,10
ORCHIDPHAR,Orchid Pharma Limited,EQ,02-JUL-1997,10,1,INE191A01019,10
ORIENTABRA,Orient Abrasives Limited,EQ,15-DEC-2005,1,1,INE569C01020,1
ORIENTALTL,Oriental Trimex Limited,BE,07-MAR-2007,10,1,INE998H01012,10
ORIENTBANK,Oriental Bank of Commerce,EQ,02-JUL-1997,10,1,INE141A01014,10
ORIENTBELL,Orient Bell Limited,EQ,14-FEB-2007,10,1,INE607D01018,10
ORIENTCEM,Orient Cement Limited,EQ,12-JUL-2013,1,1,INE876N01018,1
ORIENTHOT,Oriental Hotels Limited,EQ,27-AUG-1998,1,1,INE750A01020,1
ORIENTLTD,Orient Press Limited,EQ,03-MAR-2010,10,1,INE609C01024,10
ORIENTPPR,Orient Paper & Industries Limited,EQ,29-MAR-1995,1,1,INE592A01026,1
ORIENTREF,Orient Refractories Limited,EQ,12-MAR-2012,1,1,INE743M01012,1
ORISSAMINE,The Orissa Minerals Development Company Limited,EQ,29-SEP-2010,1,1,INE725E01024,1
ORTEL,Ortel Communications Limited,EQ,19-MAR-2015,10,1,INE849L01019,10
PAEL,PAE Limited,BE,21-JUL-1999,10,1,INE766A01018,10
PAGEIND,Page Industries Limited,EQ,16-MAR-2007,10,1,INE761H01022,10
PANACEABIO,Panacea Biotec Limited,EQ,17-APR-1996,1,1,INE922B01023,1
PANAMAPET,Panama Petrochem Limited,EQ,30-SEP-2011,2,1,INE305C01029,2
PANORAMUNI,Panoramic Universal Limited,EQ,03-JAN-2007,5,1,INE194B01029,5
PAPERPROD,Huhtamaki PPL Limited,EQ,01-OCT-2004,2,1,INE275B01026,2
PARABDRUGS,Parabolic Drugs Limited,EQ,01-JUL-2010,10,1,INE618H01016,10
PARACABLES,Paramount Communications Limited,BE,03-JAN-2007,2,1,INE074B01023,2
PARAGMILK,Parag Milk Foods Limited,EQ,19-MAY-2016,10,1,INE883N01014,10
PARRYSUGAR,Parrys Sugar Industries Limited,EQ,24-SEP-2007,10,1,INE353B01021,10
PARSVNATH,Parsvnath Developers Limited,EQ,30-NOV-2006,5,1,INE561H01026,5
PATELENG,Patel Engineering Limited,EQ,24-FEB-2005,1,1,INE244B01030,1
PATINTLOG,Patel Integrated Logistics Limited,EQ,11-JAN-2008,10,1,INE529D01014,10
PATSPINLTD,Patspin India Limited,EQ,10-MAY-1995,10,1,INE790C01014,10
PBAINFRA,PBA Infrastructure Limited,EQ,24-NOV-2005,10,1,INE160H01019,10
PCJEWELLER,PC Jeweller Limited,EQ,27-DEC-2012,10,1,INE785M01013,10
PDMJEPAPER,Pudumjee Paper Products Limited,EQ,30-MAR-2016,1,1,INE865T01018,1
PDPL,Parenteral Drugs (India) Limited,EQ,19-AUG-2010,10,1,INE904D01019,10
PDSMFL,PDS Multinational Fashions Limited,EQ,21-OCT-2014,10,1,INE111Q01013,10
PDUMJEIND,Pudumjee Industries Limited,EQ,19-JUL-1995,2,1,INE105C01023,2
PDUMJEPULP,Pudumjee Pulp & Paper Mills Limited,EQ,08-FEB-1995,2,1,INE606A01024,2
PEARLPOLY,Pearl Polymers Limited,BE,31-MAY-2000,10,1,INE844A01013,10
PEL,Piramal Enterprises Limited,EQ,08-FEB-1995,2,1,INE140A01024,2
PENIND,Pennar Industries Limited,EQ,25-NOV-2010,5,1,INE932A01024,5
PENINLAND,Peninsula Land Limited,EQ,08-FEB-1995,2,1,INE138A01028,2
PENPEBS,Pennar Engineered Building Systems Limited,EQ,10-SEP-2015,10,1,INE455O01019,10
PERSISTENT,Persistent Systems Limited,EQ,06-APR-2010,10,1,INE262H01013,10
PETRONENGG,Petron Engineering Construction Limited,EQ,27-DEC-1995,10,1,INE742A01019,10
PETRONET,Petronet LNG Limited,EQ,26-MAR-2004,10,1,INE347G01014,10
PFC,Power Finance Corporation Limited,EQ,23-FEB-2007,10,1,INE134E01011,10
